joint_1,joint_2,joint_3,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.9285e-12,4.86011e-12,-4.79616e-12,
4.97025e-12,4.88054e-12,-4.78817e-12,
0.010774,-0.0320652,0.0187029,
0.0249277,-0.077876,0.0437852,
0.0386144,-0.123365,0.0684194,
0.0518396,-0.168642,0.0926657,
0.0645954,-0.213737,0.116561,
0.0792009,-0.267403,0.144697,
0.0886401,-0.303445,0.163428,
0.09989,-0.348077,0.186457,
0.110593,-0.392565,0.209253,
0.12072,-0.436908,0.231843,
0.13024,-0.481103,0.254255,
0.139119,-0.525141,0.276517,
0.147317,-0.569014,0.298659,
0.156174,-0.621281,0.325038,
0.161489,-0.656129,0.342658,
0.167384,-0.699438,0.36463,
0.17241,-0.742523,0.386612,
0.176509,-0.785364,0.408639,
0.180109,-0.836296,0.435124,
0.181667,-0.870074,0.452913,
0.182597,-0.912022,0.475309,
0.182321,-0.953603,0.497908,
0.18076,-0.994776,0.520749,
0.177824,-1.03549,0.543873,
0.17342,-1.0757,0.567319,
0.167451,-1.11534,0.591126,
0.159814,-1.15434,0.615326,
0.150397,-1.19263,0.639956,
0.139095,-1.23011,0.665026,
0.125791,-1.26668,0.690554,
0.11037,-1.30223,0.716542,
0.0927202,-1.33662,0.742974,
0.0727307,-1.36973,0.769816,
0.0502989,-1.40138,0.797009,
0.0200746,-1.43713,0.829926,
-0.00213216,-1.45945,0.851945,
-0.0317803,-1.4851,0.878994,
-0.063338,-1.50808,0.90527,
-0.0966832,-1.52831,0.930587,
-0.131689,-1.54573,0.954749,
-0.168214,-1.56026,0.977546,
-0.213833,-1.57379,1.00278,
-0.245198,-1.58039,1.01814,
-0.285324,-1.58587,1.03549,
-0.326312,-1.58822,1.05056,
-0.367994,-1.58739,1.06316,
-0.410135,-1.58338,1.07307,
-0.451998,-1.57628,1.08007,
-0.493168,-1.56633,1.08412,
-0.533499,-1.55373,1.08533,
-0.57291,-1.53869,1.0838,
-0.61132,-1.52142,1.0797,
-0.648701,-1.50213,1.07318,
-0.68503,-1.48102,1.06441,
-0.720302,-1.45828,1.0536,
-0.754559,-1.43405,1.0409,
-0.787737,-1.40858,1.02653,
-0.819894,-1.38198,1.01065,
-0.857239,-1.34875,0.989828,
-0.881233,-1.32606,0.975103,
-0.910465,-1.297,0.955755,
-0.944399,-1.26134,0.931386,
-0.966196,-1.23735,0.914668,
-0.992719,-1.207,0.893224,
-1.01838,-1.17645,0.871352,
-1.04319,-1.1458,0.849172,
-1.06718,-1.11516,0.826803,
-1.09033,-1.08463,0.804352,
-1.11273,-1.05423,0.781876,
-1.13426,-1.0242,0.759573,
-1.15498,-0.99457,0.737491,
-1.17488,-0.965431,0.715722,
-1.19396,-0.936883,0.694359,
-1.21221,-0.909021,0.673488,
-1.22962,-0.881945,0.653195,
-1.24619,-0.855715,0.633536,
-1.26187,-0.830502,0.614645,
-1.2767,-0.806292,0.596516,
-1.29056,-0.783359,0.57936,
-1.30347,-0.761721,0.563189,
-1.31541,-0.74148,0.548079,
-1.3264,-0.722659,0.534048,
-1.33632,-0.705515,0.521282,
-1.34518,-0.690067,0.509794,
-1.35296,-0.676407,0.499647,
-1.35964,-0.664596,0.490884,
-1.36518,-0.654754,0.483588,
-1.36957,-0.646925,0.477789,
-1.37279,-0.641163,0.473524,