x,y,z,roll,pitch,yaw,
0.830717,0.468358,0.05,0,0,3.99258e-12,
0.83063,0.468102,0.05,0,0,-0.000317925,
0.830368,0.467331,0.05,0,0,-0.0012717,
0.829932,0.466047,0.05,0,0,-0.00286132,
0.829322,0.464249,0.05,0,0,-0.0050868,
0.828537,0.461937,0.05,0,0,-0.00794812,
0.827577,0.459112,0.05,0,0,-0.0114453,
0.826443,0.455773,0.05,0,0,-0.0155783,
0.825135,0.45192,0.05,0,0,-0.0203472,
0.823652,0.447554,0.05,0,0,-0.0257519,
0.821995,0.442674,0.05,0,0,-0.0317925,
0.820164,0.43728,0.05,0,0,-0.0384689,
0.818158,0.431373,0.05,0,0,-0.0457812,
0.815977,0.424952,0.05,0,0,-0.0537293,
0.813622,0.418017,0.05,0,0,-0.0623133,
0.811093,0.410569,0.05,0,0,-0.0715331,
0.808389,0.402607,0.05,0,0,-0.0813888,
0.805511,0.394131,0.05,0,0,-0.0918803,
0.802458,0.385141,0.05,0,0,-0.103008,
0.799231,0.375638,0.05,0,0,-0.114771,
0.795829,0.365621,0.05,0,0,-0.12717,
0.792253,0.355091,0.05,0,0,-0.140205,
0.788503,0.344047,0.05,0,0,-0.153876,
0.784578,0.332489,0.05,0,0,-0.168182,
0.780478,0.320417,0.05,0,0,-0.183125,
0.776205,0.307832,0.05,0,0,-0.198703,
0.771756,0.294733,0.05,0,0,-0.214917,
0.767134,0.28112,0.05,0,0,-0.231767,
0.762337,0.266994,0.05,0,0,-0.249253,
0.757365,0.252354,0.05,0,0,-0.267375,
0.752219,0.2372,0.05,0,0,-0.286132,
0.746899,0.221533,0.05,0,0,-0.305526,
0.741404,0.205352,0.05,0,0,-0.325555,
0.735734,0.188657,0.05,0,0,-0.34622,
0.729891,0.171448,0.05,0,0,-0.367521,
0.723872,0.153726,0.05,0,0,-0.389458,
0.71768,0.13549,0.05,0,0,-0.412031,
0.711313,0.116741,0.05,0,0,-0.435239,
0.704771,0.0974777,0.05,0,0,-0.459084,
0.698055,0.0777009,0.05,0,0,-0.483564,
0.691165,0.0574103,0.05,0,0,-0.50868,
0.6841,0.036606,0.05,0,0,-0.534432,
0.676861,0.0152881,0.05,0,0,-0.56082,
0.669447,-0.00654351,0.05,0,0,-0.587843,
0.661859,-0.0288888,0.05,0,0,-0.615503,
0.654123,-0.0516685,0.05,0,0,-0.6437,
0.64637,-0.074499,0.05,0,0,-0.67196,
0.638617,-0.0973294,0.05,0,0,-0.70022,
0.630864,-0.12016,0.05,0,0,-0.72848,
0.623112,-0.14299,0.05,0,0,-0.75674,
0.615359,-0.165821,0.05,0,0,-0.785,
0.607606,-0.188651,0.05,0,0,-0.81326,
0.599853,-0.211482,0.05,0,0,-0.84152,
0.5921,-0.234312,0.05,0,0,-0.86978,
0.584347,-0.257143,0.05,0,0,-0.89804,
0.576594,-0.279973,0.05,0,0,-0.9263,
0.568858,-0.302753,0.05,0,0,-0.954497,
0.56127,-0.325098,0.05,0,0,-0.982157,
0.553857,-0.34693,0.05,0,0,-1.00918,
0.546617,-0.368248,0.05,0,0,-1.03557,
0.539552,-0.389052,0.05,0,0,-1.06132,
0.532662,-0.409342,0.05,0,0,-1.08644,
0.525946,-0.429119,0.05,0,0,-1.11092,
0.519405,-0.448383,0.05,0,0,-1.13476,
0.513037,-0.467132,0.05,0,0,-1.15797,
0.506845,-0.485368,0.05,0,0,-1.18054,
0.500827,-0.50309,0.05,0,0,-1.20248,
0.494983,-0.520298,0.05,0,0,-1.22378,
0.489314,-0.536993,0.05,0,0,-1.24444,
0.483819,-0.553174,0.05,0,0,-1.26447,
0.478498,-0.568842,0.05,0,0,-1.28387,
0.473352,-0.583995,0.05,0,0,-1.30263,
0.468381,-0.598635,0.05,0,0,-1.32075,
0.463584,-0.612762,0.05,0,0,-1.33823,
0.458961,-0.626374,0.05,0,0,-1.35508,
0.454513,-0.639473,0.05,0,0,-1.3713,
0.450239,-0.652059,0.05,0,0,-1.38688,
0.44614,-0.66413,0.05,0,0,-1.40182,
0.442215,-0.675688,0.05,0,0,-1.41612,
0.438464,-0.686732,0.05,0,0,-1.4298,
0.434888,-0.697263,0.05,0,0,-1.44283,
0.431487,-0.70728,0.05,0,0,-1.45523,
0.428259,-0.716783,0.05,0,0,-1.46699,
0.425207,-0.725772,0.05,0,0,-1.47812,
0.422328,-0.734248,0.05,0,0,-1.48861,
0.419625,-0.74221,0.05,0,0,-1.49847,
0.417095,-0.749659,0.05,0,0,-1.50769,
0.41474,-0.756594,0.05,0,0,-1.51627,
0.41256,-0.763015,0.05,0,0,-1.52422,
0.410554,-0.768922,0.05,0,0,-1.53153,
0.408722,-0.774316,0.05,0,0,-1.53821,
0.407065,-0.779196,0.05,0,0,-1.54425,
0.405582,-0.783562,0.05,0,0,-1.54965,
0.404274,-0.787415,0.05,0,0,-1.55442,
0.40314,-0.790754,0.05,0,0,-1.55855,
0.402181,-0.793579,0.05,0,0,-1.56205,
0.401396,-0.795891,0.05,0,0,-1.56491,
0.400785,-0.797688,0.05,0,0,-1.56714,
0.400349,-0.798973,0.05,0,0,-1.56873,
0.400087,-0.799743,0.05,0,0,-1.56968,